#{"t_start": 1521428186.542729, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,23,3.633842
0.0,23,3.656909
0.0,21,3.67875
1.0,71,3.745356
0.0,23,3.768014
0.0,23,3.799311
0.0,23,3.822305
0.0,21,3.843486
0.0,23,3.866462
0.0,23,3.889019
2.0,100,3.991186
0.0,23,4.014225
0.0,23,4.03725
0.0,21,4.058441
0.0,23,4.081046
0.0,23,4.110834
1.0,69,4.175684
0.0,23,4.198689
0.0,21,4.2199
0.0,21,4.240948
0.0,23,4.271555
1.0,69,4.33645
0.0,23,4.359553
1.0,72,4.427018
2.0,100,4.519443
0.0,23,4.551298
0.0,23,4.574305
0.0,21,4.595454
0.0,23,4.618423
0.0,23,4.640945
2.0,98,4.739432
0.0,23,4.76247
0.0,23,4.785468
0.0,23,4.8085
0.0,23,4.831048
0.0,23,4.86293
0.0,23,4.885917
0.0,21,4.907136
0.0,23,4.930162
0.0,23,4.952726
0.0,23,4.982361
0.0,23,5.005377
0.0,23,5.028336
1.0,69,5.093068
0.0,23,5.115628
0.0,23,5.144403
0.0,23,5.167421
0.0,23,5.190476
0.0,23,5.213461
0.0,23,5.236025
0.0,23,5.267476
1.0,53,5.317783
0.0,23,5.340829
0.0,21,5.362011
0.0,23,5.38457
0.0,23,5.415619
0.0,21,5.4368
0.0,23,5.459768
0.0,23,5.482762
0.0,23,5.505354
0.0,23,5.534017
0.0,21,5.555212
0.0,21,5.576493
0.0,23,5.599538
0.0,23,5.622122
1.0,51,5.679206
0.0,23,5.702262
0.0,21,5.723446
1.0,69,5.788131
0.0,23,5.810714
0.0,23,5.842316
0.0,23,5.865366
1.0,68,5.929366
0.0,23,5.952383
0.0,23,5.974953
0.0,23,6.004852
0.0,23,6.027852
0.0,21,6.049405
1.0,68,6.113186
0.0,23,6.135734
0.0,23,6.168163
0.0,23,6.554681
1.0,51,6.603516
2.0,120,6.715195
0.0,23,6.738027
0.0,23,6.766953
0.0,23,6.790126
5.0,210,6.983419
0.0,21,7.004683
2.0,84,7.08297
0.0,23,7.114437
0.0,21,7.135652
1.0,51,7.18408
1.0,51,7.232606
0.0,23,7.255162
0.0,23,7.285928
2.0,117,7.39457
0.0,23,7.417552
0.0,23,7.440551
0.0,23,7.463387
0.0,23,7.495136
0.0,23,7.518159
0.0,23,7.541199
0.0,23,7.564235
0.0,23,7.586802
0.0,23,7.616841
0.0,21,7.638025
0.0,21,7.659186
1.0,69,7.72392
1.0,72,7.79095
0.0,23,7.820079
0.0,23,7.843089
0.0,23,7.866153
0.0,21,7.887419
0.0,23,7.910009
0.0,23,7.938852
0.0,23,7.961878
0.0,23,7.984912
0.0,23,8.007905
0.0,23,8.03044
1.0,51,8.087469
0.0,23,8.110523
1.0,72,8.177985
1.0,69,8.242674
